Код;Название;Краткое описание;Производитель;Артикул;Страна происхождения;Раздел 1;Раздел 2; Раздел 3; Остаток;Розничная;Розничная спец;Оптовая;Оптовая спец;Валюта 1;Валюта 2;Валюта 3;Валюта 4;Мин розничная цена;Мин оптовая цена;Размер скидки розн;Размер скидки опт;Количество для заказа (опт);Яндекс.Маркет;Только для розницы;
D00075344;Аккумулятор Li-lon 18V (1,3Ач) Калибр;Напряжение 18V, Ёмкость 1,3 Ач, Тип Li-lon;Калибр;010126К;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;1216;;927;;RUB;;RUB;;1216;927;;;1;0;0
D00082477;Аккумулятор PATRIOT BL072 7.2В 2,0Ач;BL072 7.2В 2,0Ач для кусторезов CSH272 и CSH372;Patriot;830201207;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;1490;;1076;;RUB;;RUB;;1490;1076;;;1;0;0
D00082490;Аккумулятор PATRIOT BL202, 20В 2,0Ач;20В, 2,0Ач;Patriot;830201200;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;3290;;2486;;RUB;;RUB;;3290;2486;;;1;0;0
D00075849;Аккумулятор PATRIOT BL402 40В, 2.5Ач Li-ion;;Patriot;830201000;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;2;6990;;5436;;RUB;;RUB;;6990;5436;;;1;0;0
D00075851;Аккумулятор PATRIOT BL404 40В, 4Ач Li-ion;;Patriot;830201100;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;2;11690;;9091;;RUB;;RUB;;11690;9091;;;1;0;0
D00082478;Аккумулятор PATRIOT BL42 40В платформа LCT, 2,0Ач;40В платформа LCT, 2,0Ач;Patriot;180301142;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;3990;;3382;;RUB;;RUB;;3990;3382;;;1;0;0
D00082479;Аккумулятор PATRIOT BL44 40В платформа LCT, 4,0Ач;40В платформа LCT, 4,0Ач;Patriot;180301144;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;6290;;5303;;RUB;;RUB;;6290;5303;;;1;0;0
D00047142;Аккумулятор Patriot PB BR 21V 2,0Ah UES;Аккумулятор 21 В, тип Li-lon, емкость 2 А.ч.;Patriot;180301120;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;3;2650;;2020;;RUB;;RUB;;2650;2020;;;1;0;0
D00047147;Аккумулятор Patriot PB BR 21V 4А.ч UES;Аккумулятор 21 В, тип Li-lon, емкость 4 А.ч.;Patriot;180301121;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;4490;;3429;;RUB;;RUB;;4490;3429;;;1;0;0
D00075847;Аккумулятор PATRIOT PB BR 21V(Max) 2Ач Li-ion;;Patriot;180301122;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;2250;;1911;;RUB;;RUB;;2250;1911;;;1;0;0
D00059340;Аккумулятор PH20-2.0 PIT 20В, 2Ач, Li-Ion;Напряжение 20В, емкость 2 Ач, тип Li-Ion.;PIT;PH20-2.0;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2900;;1923;;RUB;;RUB;;2900;1923;;;1;1;0
D00059342;Аккумулятор PH20-4.0 PIT 20В, 4Ач, Li-Ion;Напряжение 20В, емкость 4 Ач, тип Li-Ion.;PIT;PH20-4.0;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;4800;;3180;;RUB;;RUB;;4800;3180;;;1;1;0
D00084822;Аккумулятор PH20-4.0 PIT 20В, 4Ач, Li-Ion БУ;БУ.Гарантия 30 дней. Упаковка повреждена. Напряжение 20В, емкость 4 Ач, тип Li-Ion.;БУ;PH20-4.0 БУ;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;4800;2870;3180;1890;RUB;RUB;RUB;RUB;2870;1890;40,2083333333333;40,5660377358491;1;1;0
D00079374;Аккумулятор PH20-5.0 PIT 20В, 5Ач, Li-Ion;Напряжение 20В, емкость 5 Ач, тип Li-Ion.;PIT;PH20-5.0;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;6220;;4117;;RUB;;RUB;;6220;4117;;;1;0;0
D00084236;Аккумулятор PK12-2.0  PIT 12В, 2Ач, Li-Ion;Напряжение 12В, емкость 2 Ач, тип Li-Ion.;PIT;PK12-2.0P;Россия;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;2;1030;;784;;RUB;;RUB;;1030;784;;;1;0;0
D00053682;Аккумулятор АПИ-1,5Ач/14,4В Li-ion;Напряжение 14,4 В, тип Li-ion, емкость 1,5 Ач, слайдерный блок.;Интерскол;2400.012;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2880;;2153;;RUB;;RUB;;2880;2153;;;1;1;0
